,parameter1,parameter2,parameter3,parameter4,frequency,Z,B
50,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.08,1.0034008613494085,0.0007243921788490001
51,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.16,1.0135893955928554,0.0029263764283347926
52,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.24,1.0305135125444438,0.006692125068983072
53,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.32,1.054052770329174,0.012163954925352745
54,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.4,1.0839668808239675,0.019536699290406134
55,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.48,1.1198240514757989,0.0290492239810142
56,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.56,1.16091605225945,0.04096781851570259
57,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.64,1.2061784810899339,0.05555820352724532
58,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.72,1.2541512947223288,0.07304485591907656
59,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.8,1.3030291167637778,0.09356137084257948
60,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.88,1.3508463375177604,0.11710320398818365
61,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,0.96,1.395797962923174,0.14350019845085576
62,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.04,1.436611203309117,0.1724229347528568
63,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.12,1.4727957474979432,0.2034184928910355
64,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.2,1.5045836150784337,0.2359435141662964
65,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.28,1.5324591539264398,0.2693438676637981
66,43582.3340069163,33801.6193089301,2079.33012950847,5120.93705963645,1.36,1.5563361745373183,0.30273929281753403
